# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_Zeeman (J)	ext_topologicalcharge ()	Temp (K)	LastErr ()
1.1800248640421684e-09	-0.002616988	0.0023360113	0.7697667	0	0	0.24981998	4.824089e-16	-4.0623091e-16	4.3918145e-16	6.60189e-16	-2.0164444e-16	-9.439803	750	7.310353e-06
1.190014780557441e-09	-0.0054264506	-0.0009896518	0.7676822	0	0	0.24980998	4.9586346e-16	-4.0491256e-16	4.3761108e-16	6.649287e-16	-2.0109032e-16	-9.54324	750	2.6392345e-06
1.2001251369708285e-09	-0.0032220345	-0.0015854836	0.7674721	0	0	0.24979994	4.9568813e-16	-4.0410587e-16	4.3682476e-16	6.6202496e-16	-2.0102716e-16	-11.147406	750	3.6060942e-06
1.2101052878838282e-09	-0.00044685218	-0.001286915	0.76619565	0	0	0.24978994	4.9817957e-16	-4.036898e-16	4.361126e-16	6.671903e-16	-2.0068482e-16	-10.336591	750	3.2989533e-06
1.2200064128600369e-09	-0.0011802312	-0.004027874	0.7679492	0	0	0.24977995	5.00165e-16	-4.040165e-16	4.366456e-16	6.6118577e-16	-2.0113611e-16	-5.8138995	750	3.727229e-06
1.2300072471495343e-09	0.00046447903	-0.004349174	0.7701805	0	0	0.24976994	5.021537e-16	-4.0603858e-16	4.3866955e-16	6.5978403e-16	-2.0171245e-16	-8.109139	750	4.4203007e-06
1.2400388304511591e-09	0.00024660403	-0.004931854	0.76897216	0	0	0.24975993	4.942137e-16	-4.049274e-16	4.3776717e-16	6.6498995e-16	-2.0138788e-16	-7.654268	750	4.393108e-06
1.2500024577195718e-09	0.0027927235	-0.0036560798	0.76986074	0	0	0.24974993	5.0392166e-16	-4.054849e-16	4.3830196e-16	6.644954e-16	-2.0161256e-16	-6.676663	750	3.4940374e-06
1.2600070636577126e-09	0.0022855238	-0.005405888	0.7693594	0	0	0.24973992	5.0255534e-16	-4.052893e-16	4.3791143e-16	6.628142e-16	-2.0147319e-16	-8.9785795	750	4.40005e-06
1.2700979954811967e-09	0.002418983	-0.002036197	0.76896423	0	0	0.24972989	4.9941777e-16	-4.044547e-16	4.3726962e-16	6.6237256e-16	-2.0136158e-16	-7.38872	750	4.5221364e-06
1.280003817913924e-09	0.002405637	-0.00054054055	0.7700663	0	0	0.24972007	4.866346e-16	-4.0592e-16	4.3863106e-16	6.650675e-16	-2.0164218e-16	-7.2349887	750	2.9365551e-06
